"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,22,"11233","5 - 12 years",1692,7531,"2023 - 24","Q2",NA
"Flu","Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,27,"11234","5 - 12 years",2363,8634,"2023 - 24","Q2",NA
"Flu","Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,32,"11235","5 - 12 years",1974,6166,"2023 - 24","Q2",NA
"Flu","Canarsie",11236,25,"11236","5 - 12 years",2086,8328,"2023 - 24","Q2",NA
"Flu","Bushwick/East Williamsburg",11237,44,"11237","5 - 12 years",1744,3984,"2023 - 24","Q2",NA
"Flu","Clinton Hill/Prospect Heights",11238,56,"11238","5 - 12 years",1674,2996,"2023 - 24","Q2",NA
"Flu","East New York",11239,28,"11239","5 - 12 years",328,1178,"2023 - 24","Q2",NA
"Flu","Flushing/Murray Hill",11354,83,"11354","5 - 12 years",2475,2999,"2023 - 24","Q2",NA
"Flu","Flushing/Murray Hill/Queensboro Hill",11355,97,"11355","5 - 12 years",4996,5137,"2023 - 24","Q2",NA
"Flu","College Point",11356,56,"11356","5 - 12 years",1422,2546,"2023 - 24","Q2",NA
"Flu","Whitestone",11357,40,"11357","5 - 12 years",1380,3459,"2023 - 24","Q2",NA
"Flu","Auburndale/Murray Hill",11358,60,"11358","5 - 12 years",1697,2841,"2023 - 24","Q2",NA
"Flu","Bayside (North)",11360,47,"11360","5 - 12 years",570,1217,"2023 - 24","Q2",NA
"Flu","Bayside (North)/Bayside (South)",11361,49,"11361","5 - 12 years",1108,2282,"2023 - 24","Q2",NA
"Flu","Douglaston-Little Neck",11362,40,"11362","5 - 12 years",631,1593,"2023 - 24","Q2",NA
"Flu","Douglaston-Little Neck",11363,37,"11363","5 - 12 years",258,691,"2023 - 24","Q2",NA
"Flu","Bayside (South)/Oakland Gardens",11364,47,"11364","5 - 12 years",1510,3196,"2023 - 24","Q2",NA
"Flu","Auburndale/Fresh Meadows/Pomonok/Utopia",11365,49,"11365","5 - 12 years",1961,4016,"2023 - 24","Q2",NA
"Flu","Fresh Meadows/Hillcrest",11366,41,"11366","5 - 12 years",449,1091,"2023 - 24","Q2",NA
"Flu","Kew Gardens Hills/Pomonok",11367,39,"11367","5 - 12 years",1492,3855,"2023 - 24","Q2",NA
"Flu","Corona/North Corona",11368,67,"11368","5 - 12 years",7541,11208,"2023 - 24","Q2",NA
"Flu","Airport/East Elmhurst",11369,67,"11369","5 - 12 years",1906,2834,"2023 - 24","Q2",NA
"Flu","Jackson Heights/Rikers Island",11370,55,"11370","5 - 12 years",1068,1949,"2023 - 24","Q2",NA
"Flu","Jackson Heights",11372,63,"11372","5 - 12 years",3090,4911,"2023 - 24","Q2",NA
"Flu","Elmhurst",11373,66,"11373","5 - 12 years",5401,8153,"2023 - 24","Q2",NA
"Flu","Rego Park",11374,46,"11374","5 - 12 years",1362,2987,"2023 - 24","Q2",NA
"Flu","Forest Hills",11375,50,"11375","5 - 12 years",2444,4924,"2023 - 24","Q2",NA
"Flu","Woodside",11377,52,"11377","5 - 12 years",3558,6830,"2023 - 24","Q2",NA
"Flu","Maspeth",11378,30,"11378","5 - 12 years",1134,3775,"2023 - 24","Q2",NA
"Flu","Middle Village",11379,30,"11379","5 - 12 years",972,3210,"2023 - 24","Q2",NA
"Flu","Glendale/Ridgewood",11385,27,"11385","5 - 12 years",2798,10266,"2023 - 24","Q2",NA
"Flu","Cambria Heights",11411,27,"11411","5 - 12 years",384,1432,"2023 - 24","Q2",NA
"Flu","St. Albans",11412,26,"11412","5 - 12 years",893,3385,"2023 - 24","Q2",NA
"Flu","Laurelton/Rosedale",11413,23,"11413","5 - 12 years",832,3604,"2023 - 24","Q2",NA
"Flu","Hamilton Beach/Howard Beach/Lindenwood",11414,22,"11414","5 - 12 years",552,2529,"2023 - 24","Q2",NA
"Flu","Kew Gardens",11415,29,"11415","5 - 12 years",456,1582,"2023 - 24","Q2",NA
"Flu","Ozone Park",11416,44,"11416","5 - 12 years",1299,2960,"2023 - 24","Q2",NA
"Flu","Ozone Park",11417,36,"11417","5 - 12 years",1127,3132,"2023 - 24","Q2",NA
"Flu","Richmond Hill",11418,42,"11418","5 - 12 years",1550,3709,"2023 - 24","Q2",NA
"Flu","Richmond Hill/South Ozone Park",11419,37,"11419","5 - 12 years",1626,4405,"2023 - 24","Q2",NA
"Flu","South Ozone Park",11420,30,"11420","5 - 12 years",1529,5039,"2023 - 24","Q2",NA
"Flu","Woodhaven",11421,37,"11421","5 - 12 years",1517,4061,"2023 - 24","Q2",NA
"Flu","Rosedale",11422,22,"11422","5 - 12 years",624,2829,"2023 - 24","Q2",NA
"Flu","Hollis/Holliswood",11423,47,"11423","5 - 12 years",1097,2327,"2023 - 24","Q2",NA
"Flu","Bellerose",11426,36,"11426","5 - 12 years",643,1784,"2023 - 24","Q2",NA
"Flu","Bellerose/Hollis Hills/Holliswood",11427,35,"11427","5 - 12 years",724,2062,"2023 - 24","Q2",NA
"Flu","Queens Village",11428,36,"11428","5 - 12 years",605,1666,"2023 - 24","Q2",NA
"Flu","Queens Village",11429,60,"11001, 11429","5 - 12 years",1326,2204,"2023 - 24","Q2",NA
"Flu","Hillcrest/Jamaica Estates/Jamaica Hills",11432,63,"11432","5 - 12 years",3351,5358,"2023 - 24","Q2",NA
"Flu","Jamaica",11433,43,"11433","5 - 12 years",1581,3696,"2023 - 24","Q2",NA
"Flu","Airport/South Jamaica/Springfield Gardens/St. Albans",11434,31,"11434","5 - 12 years",1742,5675,"2023 - 24","Q2",NA
"Flu","Briarwood/Jamaica",11435,55,"11435","5 - 12 years",2798,5100,"2023 - 24","Q2",NA
"Flu","South Jamaica/South Ozone Park",11436,37,"11436","5 - 12 years",764,2065,"2023 - 24","Q2",NA
"Flu","Edgemere/Far Rockaway",11691,36,"11691","5 - 12 years",2816,7873,"2023 - 24","Q2",NA
"Flu","Arverne/Edgemere",11692,23,"11692","5 - 12 years",617,2663,"2023 - 24","Q2",NA
"Flu","Arverne/Broad Channel",11693,19,"11693","5 - 12 years",243,1266,"2023 - 24","Q2",NA
"Flu","Belle Harbor-Neponsit/Rockaway Park",11694,19,"11694","5 - 12 years",381,1966,"2023 - 24","Q2",NA
"Flu","Breezy Point",11697,26,"11697","5 - 12 years",89,338,"2023 - 24","Q2",NA
