"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Bayside (South)/Oakland Gardens",11364,55,"11364","6 months - 4 years",1,722,1305.65,"2023 - 24","Q4","Flu",
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,52,"11365","6 months - 4 years",1,976,1889.04,"2023 - 24","Q4","Flu",
"Fresh Meadows/Hillcrest",11366,58,"11366","6 months - 4 years",1,290,500.79,"2023 - 24","Q4","Flu",
"Kew Gardens Hills/Pomonok",11367,53,"11367","6 months - 4 years",1,1366,2587.06,"2023 - 24","Q4","Flu",
"Corona/North Corona",11368,52,"11368","6 months - 4 years",1,3799,7284.01,"2023 - 24","Q4","Flu",
"Airport/East Elmhurst",11369,58,"11369","6 months - 4 years",1,1035,1772.46,"2023 - 24","Q4","Flu",
"Jackson Heights/Rikers Island",11370,55,"11370","6 months - 4 years",1,622,1127.43,"2023 - 24","Q4","Flu",
"Jackson Heights",11372,54,"11372","6 months - 4 years",1,1708,3174.26,"2023 - 24","Q4","Flu",
"Elmhurst",11373,61,"11373","6 months - 4 years",1,2931,4783.92,"2023 - 24","Q4","Flu",
"Rego Park",11374,66,"11374","6 months - 4 years",1,1175,1786.01,"2023 - 24","Q4","Flu",
"Forest Hills",11375,57,"11375","6 months - 4 years",1,1871,3269.96,"2023 - 24","Q4","Flu",
"Woodside",11377,58,"11377","6 months - 4 years",1,2130,3695.1,"2023 - 24","Q4","Flu",
"Maspeth",11378,38,"11378","6 months - 4 years",1,760,2014.58,"2023 - 24","Q4","Flu",
"Middle Village",11379,43,"11379","6 months - 4 years",1,692,1605.94,"2023 - 24","Q4","Flu",
"Glendale/Ridgewood",11385,36,"11385","6 months - 4 years",1,2023,5638.36,"2023 - 24","Q4","Flu",
"Cambria Heights",11411,29,"11411","6 months - 4 years",1,213,731,"2023 - 24","Q4","Flu",
"St. Albans",11412,34,"11412","6 months - 4 years",1,591,1727.4,"2023 - 24","Q4","Flu",
"Laurelton/Rosedale",11413,29,"11413","6 months - 4 years",1,559,1909.11,"2023 - 24","Q4","Flu",
"Hamilton Beach/Howard Beach/Lindenwood",11414,29,"11414","6 months - 4 years",1,364,1272.77,"2023 - 24","Q4","Flu",
"Kew Gardens",11415,43,"11415","6 months - 4 years",1,415,973.18,"2023 - 24","Q4","Flu",
"Ozone Park",11416,57,"11416","6 months - 4 years",1,802,1398.63,"2023 - 24","Q4","Flu",
"Ozone Park",11417,51,"11417","6 months - 4 years",1,753,1469.62,"2023 - 24","Q4","Flu",
"Richmond Hill",11418,44,"11418","6 months - 4 years",1,840,1903.24,"2023 - 24","Q4","Flu",
"Richmond Hill/South Ozone Park",11419,43,"11419","6 months - 4 years",1,884,2060.57,"2023 - 24","Q4","Flu",
"South Ozone Park",11420,37,"11420","6 months - 4 years",1,809,2173.05,"2023 - 24","Q4","Flu",
"Woodhaven",11421,40,"11421","6 months - 4 years",1,829,2089.13,"2023 - 24","Q4","Flu",
"Rosedale",11422,28,"11422","6 months - 4 years",1,392,1412.43,"2023 - 24","Q4","Flu",
"Hollis/Holliswood",11423,56,"11423","6 months - 4 years",1,618,1108.72,"2023 - 24","Q4","Flu",
"Bellerose",11426,45,"11426","6 months - 4 years",1,380,846.06,"2023 - 24","Q4","Flu",
"Bellerose/Hollis Hills/Holliswood",11427,40,"11427","6 months - 4 years",1,425,1050.07,"2023 - 24","Q4","Flu",
"Queens Village",11428,48,"11428","6 months - 4 years",1,390,811.91,"2023 - 24","Q4","Flu",
"Queens Village",11429,65,"11001, 11429","6 months - 4 years",1,761,1175.58,"2023 - 24","Q4","Flu",
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,65,"11432","6 months - 4 years",1,1912,2947.3,"2023 - 24","Q4","Flu",
"Jamaica",11433,50,"11433","6 months - 4 years",1,954,1904.12,"2023 - 24","Q4","Flu",
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,37,"11434","6 months - 4 years",1,1161,3125.1,"2023 - 24","Q4","Flu",
"Briarwood/Jamaica",11435,54,"11435","6 months - 4 years",1,1602,2963.43,"2023 - 24","Q4","Flu",
"South Jamaica/South Ozone Park",11436,40,"11436","6 months - 4 years",1,426,1054.15,"2023 - 24","Q4","Flu",
"Edgemere/Far Rockaway",11691,35,"11691","6 months - 4 years",1,1682,4756.98,"2023 - 24","Q4","Flu",
"Arverne/Edgemere",11692,25,"11692","6 months - 4 years",1,352,1427.56,"2023 - 24","Q4","Flu",
"Arverne/Broad Channel",11693,25,"11693","6 months - 4 years",1,158,628.21,"2023 - 24","Q4","Flu",
"Belle Harbor-Neponsit/Rockaway Park",11694,32,"11694","6 months - 4 years",1,283,891.34,"2023 - 24","Q4","Flu",
"Breezy Point",11697,50,"11697","6 months - 4 years",1,74,149.15,"2023 - 24","Q4","Flu",
