"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Fresh Meadows/Hillcrest",11366,60,"11366","6 months - 4 years",351,589,"2020 - 21","Q4",NA
"Flu","Kew Gardens Hills/Pomonok",11367,60,"11367","6 months - 4 years",1746,2921,"2020 - 21","Q4",NA
"Flu","Corona/North Corona",11368,63,"11368","6 months - 4 years",4768,7591,"2020 - 21","Q4",NA
"Flu","Airport/East Elmhurst",11369,71,"11369","6 months - 4 years",1235,1734,"2020 - 21","Q4",NA
"Flu","Jackson Heights/Rikers Island",11370,73,"11370","6 months - 4 years",822,1126,"2020 - 21","Q4",NA
"Flu","Jackson Heights",11372,70,"11372","6 months - 4 years",2294,3290,"2020 - 21","Q4",NA
"Flu","Elmhurst",11373,72,"11373","6 months - 4 years",3648,5083,"2020 - 21","Q4",NA
"Flu","Rego Park",11374,65,"11374","6 months - 4 years",1325,2029,"2020 - 21","Q4",NA
"Flu","Forest Hills",11375,61,"11375","6 months - 4 years",2242,3673,"2020 - 21","Q4",NA
"Flu","Woodside",11377,66,"11377","6 months - 4 years",2637,4014,"2020 - 21","Q4",NA
"Flu","Maspeth",11378,40,"11378","6 months - 4 years",890,2219,"2020 - 21","Q4",NA
"Flu","Middle Village",11379,45,"11379","6 months - 4 years",797,1777,"2020 - 21","Q4",NA
"Flu","Glendale/Ridgewood",11385,41,"11385","6 months - 4 years",2411,5911,"2020 - 21","Q4",NA
"Flu","Cambria Heights",11411,29,"11411","6 months - 4 years",240,839,"2020 - 21","Q4",NA
"Flu","St. Albans",11412,36,"11412","6 months - 4 years",668,1866,"2020 - 21","Q4",NA
"Flu","Laurelton/Rosedale",11413,29,"11413","6 months - 4 years",600,2070,"2020 - 21","Q4",NA
"Flu","Hamilton Beach/Howard Beach/Lindenwood",11414,36,"11414","6 months - 4 years",481,1337,"2020 - 21","Q4",NA
