"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Woodhaven",11421,33,"11421","13 - 17 years",873,2678.87,"2021 - 22","Q4","Flu",
"Rosedale",11422,18,"11422","13 - 17 years",336,1869.42,"2021 - 22","Q4","Flu",
"Hollis/Holliswood",11423,41,"11423","13 - 17 years",625,1533.82,"2021 - 22","Q4","Flu",
"Bellerose",11426,26,"11426","13 - 17 years",297,1125.25,"2021 - 22","Q4","Flu",
"Bellerose/Hollis Hills/Holliswood",11427,34,"11427","13 - 17 years",421,1224.73,"2021 - 22","Q4","Flu",
"Queens Village",11428,34,"11428","13 - 17 years",360,1071.44,"2021 - 22","Q4","Flu",
"Queens Village",11429,47,"11001, 11429","13 - 17 years",710,1508.95,"2021 - 22","Q4","Flu",
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,56,"11432","13 - 17 years",1717,3042.8,"2021 - 22","Q4","Flu",
"Jamaica",11433,30,"11433","13 - 17 years",712,2380.96,"2021 - 22","Q4","Flu",
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,19,"11434","13 - 17 years",723,3827.08,"2021 - 22","Q4","Flu",
"Briarwood/Jamaica",11435,37,"11435","13 - 17 years",1157,3105.04,"2021 - 22","Q4","Flu",
"South Jamaica/South Ozone Park",11436,24,"11436","13 - 17 years",304,1281.12,"2021 - 22","Q4","Flu",
"Edgemere/Far Rockaway",11691,25,"11691","13 - 17 years",1162,4593.59,"2021 - 22","Q4","Flu",
"Arverne/Edgemere",11692,17,"11692","13 - 17 years",275,1584.98,"2021 - 22","Q4","Flu",
"Arverne/Broad Channel",11693,12,"11693","13 - 17 years",104,876.53,"2021 - 22","Q4","Flu",
"Belle Harbor-Neponsit/Rockaway Park",11694,16,"11694","13 - 17 years",202,1278.38,"2021 - 22","Q4","Flu",
"Breezy Point",11697,19,"11697","13 - 17 years",47,245.57,"2021 - 22","Q4","Flu",
