DATE_CREATED,AGE_GROUP,DOB_RANGE,VACCINE_GROUP,DOSES,YEAR_COVERAGE,QUARTER,BOROUGH,MODZCTA,LABEL,NEIGHBORHOOD_NAME,POP_DENOMINATOR_YEAR,POP_DENOMINATOR,COUNT_PEOPLE_VAC,PERC_VAC
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11224,11224,Brighton Beach/Coney Island/Seagate,2025 Vintage Estimates for 2024,396.09,187,47
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11225,11225,Crown Heights (West)/Prospect Lefferts Gardens,2025 Vintage Estimates for 2024,651.17,298,46
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11226,11226,Flatbush/Prospect Lefferts Gardens,2025 Vintage Estimates for 2024,1031.22,609,59
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11228,11228,Bath Beach/Dyker Heights,2025 Vintage Estimates for 2024,394.27,251,64
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11229,11229,Gerritsen Beach/Homecrest/Sheepshead Bay,2025 Vintage Estimates for 2024,786.25,389,49
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11230,11230,Midwood,2025 Vintage Estimates for 2024,1225.35,593,48
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11231,11231,Carroll Gardens/Cobble Hill/Red Hook,2025 Vintage Estimates for 2024,508.24,334,66
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11232,11232,Sunset Park,2025 Vintage Estimates for 2024,305.44,178,58
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11233,11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,2025 Vintage Estimates for 2024,946.57,380,40
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11234,11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,2025 Vintage Estimates for 2024,839.56,407,48
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11235,11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,2025 Vintage Estimates for 2024,682.76,347,51
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11236,11236,Canarsie,2025 Vintage Estimates for 2024,839.19,468,56
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11237,11237,Bushwick/East Williamsburg,2025 Vintage Estimates for 2024,472.58,259,55
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11238,11238,Clinton Hill/Prospect Heights,2025 Vintage Estimates for 2024,598.96,518,86
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11239,11239,East New York,2025 Vintage Estimates for 2024,120.54,83,69
